Best Epoch: 17, Val MSE: 1.0336745704403858e+16, Val RMSE: 101669787.56938493

SCENARIO,y,y_pred,Difference,Deviation
1553,1841256048.71,2065529344.0,-224273295.28999996,-12.180451243982485
1561,2059726211.94,2104477056.0,-44750844.05999994,-2.172659832194413
1590,2119125260.89,2115189760.0,3935500.890000105,0.18571346218331874
1597,2198966780.76,2195752704.0,3214076.760000229,0.14616304294007523
1609,2306706903.22,2244000512.0,62706391.21999979,2.718437749176807
1629,1842484545.62,1829495168.0,12989377.619999886,0.7049924869589033
1667,2278015816.53,2253396480.0,24619336.53000021,1.0807359787124633
1714,2021832089.1,2059496448.0,-37664358.900000095,-1.8628826351631427
1719,2221961579.19,2232562688.0,-10601108.809999943,-0.47710585589263427
1750,2070383741.19,2238808576.0,-168424834.80999994,-8.134957373322202
1753,2059819472.51,2025117952.0,34701520.50999999,1.6846874676698893
1768,2161581055.23,2231013376.0,-69432320.76999998,-3.2121081280762858
1776,2060610567.47,2085678208.0,-25067640.52999997,-1.2165151885432581
1804,2164856683.01,2095102720.0,69753963.01000023,3.222105350318842
1889,2022124146.24,2031481984.0,-9357837.75999999,-0.46277266296435077
1898,2156588855.06,2253649920.0,-97061064.94000006,-4.5006754399321816
1934,2143827247.99,2274371584.0,-130544336.00999999,-6.0893122863512055
1937,1618107433.53,1936971904.0,-318864470.47,-19.706013572558515
1938,1932324439.32,2191201024.0,-258876584.68000007,-13.397159369940008
1941,1961496569.51,2017218688.0,-55722118.49000001,-2.840796122519853
2009,1925463454.89,2039739776.0,-114276321.1099999,-5.935003379045092
2036,2178698814.12,2057263488.0,121435326.11999989,5.573754634325118
2039,1952211103.05,1950923776.0,1287327.0499999523,0.06594200022675424
2089,2213484696.54,2237289472.0,-23804775.46000004,-1.0754434172149634
2109,2141705244.82,2116272384.0,25432860.819999933,1.187505184549214
2118,2106702858.12,2192217856.0,-85514997.88000011,-4.059186493738031
2141,2122459983.25,2057848192.0,64611791.25,3.0441936130670273
2162,2272624414.01,2278122752.0,-5498337.989999771,-0.2419378211421246
2173,2171313824.67,2020312704.0,151001120.67000008,6.954366474083933
2197,2104424338.19,1960523008.0,143901330.19000006,6.838037727399054
2198,1989825674.19,2071477120.0,-81651445.80999994,-4.103447194852276
2201,2112331974.26,2036993536.0,75338438.25999999,3.5666002871727978
2214,2062070808.11,2081827584.0,-19756775.890000105,-0.9581036602767421
2220,2139325599.35,2131085184.0,8240415.349999905,0.3851875260364118
2228,2082640941.57,2116547840.0,-33906898.43000007,-1.6280722112588133
2236,1797361702.3,1999030272.0,-201668569.70000005,-11.220255190812967
2254,2011449916.83,2016929664.0,-5479747.170000076,-0.2724277211254673
2261,2085319494.74,2111716608.0,-26397113.25999999,-1.2658546245112052
2265,2159562704.9,2175354880.0,-15792175.099999905,-0.731267263699628
2280,2068303604.24,2093870976.0,-25567371.75999999,-1.2361517771175932
2285,1912336281.74,1964045696.0,-51709414.25999999,-2.703991696112701
2286,2098672870.34,2076690816.0,21982054.339999914,1.0474264308014172
2289,2045427410.78,2045128320.0,299090.7799999714,0.01462240988967272
2297,2186005017.02,2073451008.0,112554009.01999998,5.1488449543192525
2301,1792283187.42,1990815488.0,-198532300.57999992,-11.07706092282147
2335,2227740110.95,2256962048.0,-29221937.05000019,-1.311730075979947
2350,2212021601.01,2275139584.0,-63117982.98999977,-2.8534071711225764
2351,2082750189.68,2037577472.0,45172717.68000007,2.168897542481585
2353,2056985140.5,2051756928.0,5228212.5,0.254168705308642
2373,2058496331.67,2073478784.0,-14982452.329999924,-0.727834784036029
