epoch,loss,val_loss,mape,val_mape
56,13760711696455442,10933666376769864,5.11958,3.72471
57,13491322668651670,10752810286097368,5.12478,3.73252
58,13327810977414044,10957049381320130,5.10024,3.70837
59,13423423502977970,10844537636350066,5.13484,3.68399
60,13065575760842098,10797407774800084,5.03517,3.67241
61,12822329671592306,10839667289465290,4.97512,3.69661
62,12640850592748812,10808580178737890,4.90862,3.72123
63,12653596971317122,10614873846563472,4.91568,3.69952
64,12403372827452734,10874029957000986,4.87734,3.70538
65,12234950849977344,10779041541159650,4.83805,3.68731
66,12272420865317950,10659089967940108,4.84553,3.66057
67,12167146690449562,10962785258604332,4.81539,3.69388
68,12076899718221902,10737375384816320,4.80744,3.70012
69,12069559149379246,10874614484870104,4.81464,3.66818
70,11771702608829846,10647530656168412,4.73878,3.65816
71,11588714400772080,10575700729756910,4.72487,3.64265
72,11518196372573244,10715367998161420,4.70187,3.66268
73,11507058308029226,10870937537598194,4.69679,3.66395
74,11438633803769792,10768263114571908,4.69324,3.64648
75,11387091095138378,10848486626850504,4.63497,3.65484
76,11319530709703458,10616991110821576,4.66113,3.64629
77,11298455125471514,10569173822576002,4.62573,3.63897
78,11217411322814274,10731018395131576,4.63013,3.65579
79,11295273200532628,10617393188479960,4.64221,3.63798
80,11047539444175726,10590234890496638,4.58585,3.62971
81,10990114353421856,10667698465380762,4.57134,3.63930
82,10938250799543912,10639866699345560,4.56325,3.63569
83,10906407210349342,10678246509922746,4.55532,3.64116
84,10851433737563434,10737478841988546,4.53504,3.64841
85,10865879753367500,10688221880705352,4.54746,3.63928
86,10819955074786188,10678542630737936,4.51842,3.64219
87,10800704950213238,10730469944987746,4.53227,3.65159
88,10784689972005500,10717412402594316,4.52996,3.64518
89,10772893492365768,10725793739214684,4.51423,3.65217
90,10676883902161472,10698583369047868,4.48383,3.64632
91,10653246805537566,10712574353863606,4.48204,3.64803
92,10648489465006646,10714144963274212,4.48394,3.64824
93,10634704479142198,10697448509839246,4.48031,3.64379
94,10623917062848830,10714264122846872,4.47966,3.64706
95,10610131796229150,10692578266033684,4.46828,3.64536
96,10591280458691482,10667409216513246,4.47301,3.64221
97,10588387427720184,10686775335720058,4.46741,3.64650
98,10579780107552672,10716745110705406,4.46370,3.64959
99,10560409367865252,10710316962002502,4.46159,3.64591
100,10523011352226142,10713382752608060,4.44973,3.64768
101,10518376380399630,10708362296616288,4.44673,3.64686
102,10507728823273804,10705430990026702,4.44699,3.64670
103,10501863377450676,10710684946210488,4.44636,3.64917
104,10500473266527246,10716586574872576,4.44366,3.64817
105,10491260239554778,10716278342249612,4.44352,3.64861
106,10486322505085230,10725959576491918,4.44126,3.64933
107,10484881097106874,10718178152313520,4.43880,3.64774
108,10473376098248322,10703783732629734,4.43653,3.64794
109,10470671727897442,10703410242273674,4.43805,3.64768
110,10451406702726638,10710971944515142,4.43317,3.64859
111,10449578197483726,10714412625636098,4.43117,3.64937
112,10446521556740866,10720599371407164,4.43364,3.64954
113,10442164688567788,10720378378159916,4.42944,3.64949
114,10439293399851198,10717418260929708,4.42999,3.64945
115,10436709186296570,10719513560725062,4.42884,3.64960
116,10433962058755080,10718556856759878,4.42754,3.65022
117,10431531900252138,10720900233866248,4.42680,3.64981
118,10428752092756594,10722444747055562,4.42759,3.65059
119,10427465296141214,10722469812484702,4.42630,3.65002
120,10417337754215210,10721911844693344,4.42405,3.65021
121,10414687720060720,10721702696965898,4.42385,3.65041
122,10412756962949036,10722069255244742,4.42300,3.65017
123,10411955832645554,10720968532436190,4.42262,3.65011
124,10410071010661202,10719841481478112,4.42275,3.64992
125,10408996623461854,10721553068895240,4.42341,3.65014
126,10408662155370238,10721421625716114,4.42245,3.65036
127,10406827214457910,10723701523205850,4.42138,3.65041
128,10405731789604540,10722967401625812,4.42234,3.65058
129,10404981019601010,10723359927276930,4.42069,3.65037
130,10398732089258976,10724569707895062,4.41981,3.65057
131,10398215193109614,10723521486766736,4.41973,3.65045
132,10397137512800604,10723886842454736,4.41919,3.65039
133,10396855983797726,10724634372922672,4.41965,3.65060
134,10396646478231690,10724751840278216,4.42011,3.65063
135,10395515703989068,10723931716273046,4.41902,3.65062
136,10395195437997994,10724586423907778,4.41888,3.65045
137,10393680245194104,10723430021143200,4.41855,3.65050
138,10393628969614014,10724017486769946,4.41891,3.65046
139,10392857313862678,10724361616729572,4.41860,3.65051
140,10389942317976526,10724267462456508,4.41794,3.65058
141,10390011006258236,10724201989975048,4.41752,3.65050
142,10389728159717626,10724045240848614,4.41807,3.65059
143,10389150764432884,10724279187717226,4.41754,3.65062
144,10388926413538438,10723767708651880,4.41759,3.65050
145,10388426118793982,10724552665464832,4.41763,3.65066
146,10388124266231910,10724120110718518,4.41735,3.65057
147,10387745907869496,10724139730129126,4.41721,3.65060
148,10387503422153798,10724425817900712,4.41724,3.65060
149,10387213875577232,10723972793340264,4.41707,3.65054
150,10385746509946794,10724171049030648,4.41686,3.65060
151,10385490556569960,10724364193709948,4.41678,3.65059
152,10385420080903702,10724239622478496,4.41670,3.65059
153,10385384602665430,10724487321832390,4.41672,3.65061
154,10385177048596900,10724112216568628,4.41668,3.65061
155,10384843791007910,10724275330836594,4.41652,3.65061
156,10384804386943478,10724461045222474,4.41656,3.65065
157,10384673032828410,10724601327444296,4.41638,3.65063
158,10384332124772410,10724717257201550,4.41642,3.65066
159,10384158286197156,10724384534675062,4.41639,3.65062
160,10383513656364106,10724413173516992,4.41615,3.65063
161,10383436657094626,10724486711947034,4.41623,3.65062
162,10383404090392080,10724556573885072,4.41616,3.65064
163,10383277744434930,10724571382932308,4.41619,3.65064
164,10383196001939200,10724812476626502,4.41614,3.65066
165,10383116256603262,10724839260042560,4.41612,3.65066
