epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
1,2.6406092366482176e+18,68.12832122903122,3.1334294032385836e+16,6.536869964599609
2,4.9721935515497464e+16,8.612480628364965,2.314674317531755e+16,5.43871923828125
3,2.4634214342463476e+16,7.15205626859163,2.5017344163078732e+16,5.776920475006103
4,2.1749499025077028e+16,6.60114761232075,1.6579832239517336e+16,4.266687690734863
5,1.9585607485766916e+16,6.250791935569362,1.8054504673573864e+16,4.5082084197998045
6,1.7129055756633506e+16,5.84595386595475,1.3575743838508548e+16,4.040824684143066
7,2.08526378578136e+16,6.267114941747565,2.255554958567722e+16,5.184846755981446
8,2.3629832310624852e+16,6.90847046038979,2.029039565351682e+16,4.966076713562011
9,1.9604838582052384e+16,6.203346554505198,1.6719435581628612e+16,4.2908495330810545
10,1.9009295402400136e+16,5.98641117166218,1.6642689472441352e+16,4.453874122619629
11,1.5474829217558678e+16,5.45632210058915,1.4860763573474296e+16,3.9705051116943357
12,1.3772887528403438e+16,5.129494090331228,1.6935058496259358e+16,4.1830690574646
13,1.2857158728044318e+16,4.882136084907933,1.0774600089709052e+16,3.5046632652282717
14,1.1432993565461032e+16,4.683192495446456,1.3237262319223832e+16,3.6923157768249513
15,1.3151778510937618e+16,5.028551402342947,1.1149266923210932e+16,3.6051282691955566
16,1.12813546412983e+16,4.613032642766049,1.4926734588968436e+16,4.111861347198486
17,1.201277245171381e+16,4.71981260379992,1.4352315844506158e+16,3.6335073566436766
18,1.0872406636587012e+16,4.54734657277559,1.0032102524581838e+16,3.314222438812256
19,1.0063838239569394e+16,4.387817621532239,1.7332799775271026e+16,4.300035524368286
20,1.0119932231346276e+16,4.318536052603471,1.0336746272874038e+16,3.388966381072998
