epoch,loss,val_loss,mape,val_mape
1,253506775347405664,6611397899190,40.13452,0.23574
2,6425304740507,6259395809771,0.23364,0.22327
3,5703814182904,5421955024945,0.21981,0.21770
4,5134867461970,5094726139117,0.20826,0.20538
5,5009608748550,4549385190899,0.20479,0.19816
6,4957244144801,4602105797017,0.20432,0.19667
7,4588420951179,4086091351064,0.19664,0.18237
8,4282755689949,4466885210931,0.18843,0.20106
9,4323349461204,5255132694446,0.19039,0.20187
10,4071449846956,3853940850425,0.18333,0.17152
11,3634697988445,3607643887239,0.17311,0.17237
12,3552135752532,3760095131336,0.17029,0.17087
13,3530122729564,3745993250045,0.17050,0.18330
14,3410524642862,3324028743843,0.16773,0.16905
15,3484613612501,3597360701636,0.16943,0.17652
16,3374537726023,3591992969789,0.16656,0.17614
17,3127146060640,2732984734056,0.16067,0.14913
18,2971447983189,3071983512190,0.15590,0.16310
19,3005111722284,3108339233849,0.15685,0.15606
20,2757831333221,2600250793525,0.15084,0.14385
21,2562379295545,2622190367277,0.14427,0.14355
22,2501902852009,2652264682487,0.14328,0.14546
23,2646951544584,2731074018869,0.14706,0.15561
24,2510371559350,2646909973954,0.14314,0.14473
25,2489264589711,2592212793688,0.14260,0.14068
26,2419150118315,2467309050396,0.14093,0.14390
27,2499777266326,2787659097309,0.14312,0.15042
28,2450139909028,2385370201194,0.14206,0.14148
29,2364056276648,2084540755476,0.13916,0.13086
30,2072573163105,2134795968577,0.12984,0.13504
31,1989946778293,2165453908606,0.12758,0.13087
32,2060784774083,2222726211174,0.12995,0.13614
33,1944746455990,1857658491502,0.12584,0.12310
34,1951678032593,1953393130078,0.12621,0.12995
35,1836924664310,2002207341805,0.12248,0.12892
36,1908757007999,3071439578071,0.12536,0.16835
37,1790814381684,1988123139506,0.12111,0.12733
38,1727800329537,2123935797739,0.11849,0.13378
39,1881566383246,2309012783628,0.12407,0.14133
40,1676415503944,1913828845551,0.11758,0.12711
41,1568279198626,1846496050806,0.11286,0.12190
42,1508156827086,1666812864364,0.11052,0.11292
43,1452541571015,1783267840753,0.10883,0.12424
44,1457544174267,1969960313159,0.10874,0.12200
45,1391035249079,1720634755252,0.10555,0.11624
46,1362016472413,1701303006789,0.10454,0.11722
47,1315152083370,1917585494900,0.10283,0.12001
48,1310310201488,1764181238874,0.10259,0.11729
49,1299575505903,1636838833913,0.10180,0.11293
50,1173558266539,1581263725002,0.09659,0.11024
51,1083610071412,1533099027464,0.09301,0.10840
52,1032158325312,1654558694572,0.09014,0.11425
53,1009433816430,1504122457030,0.08867,0.10975
54,968237267094,1545349605883,0.08700,0.11126
55,944052119577,1597948452405,0.08602,0.10969
56,914733517007,1582053769347,0.08410,0.11154
57,894622609495,1579953629954,0.08337,0.10876
58,863458196634,1501581970243,0.08162,0.10741
59,866608662128,1505105578819,0.08203,0.10822
60,796040103474,1438755749625,0.07804,0.10636
61,739649393262,1441283028549,0.07421,0.10599
62,721840234161,1475228221833,0.07291,0.10793
63,692492334765,1453830753484,0.07097,0.10739
64,677411718541,1444994705522,0.07005,0.10628
65,673894520793,1457604840652,0.06968,0.10702
66,660158799026,1517067082661,0.06868,0.10867
67,637792341610,1411899793080,0.06714,0.10498
68,629855692286,1447003007483,0.06682,0.10633
69,614086837645,1439850710958,0.06565,0.10626
70,574148172026,1399538257494,0.06221,0.10508
71,560172297810,1451519447662,0.06101,0.10581
72,558082217255,1398892551733,0.06071,0.10530
73,546813551023,1402660955619,0.05988,0.10561
74,536423798007,1416074662772,0.05901,0.10555
75,533739411603,1402755270836,0.05867,0.10509
76,526180764835,1420907581014,0.05807,0.10573
77,516766965777,1394937568428,0.05727,0.10478
78,519662430791,1388721902452,0.05796,0.10443
79,512094704597,1402144471121,0.05702,0.10484
80,494144645441,1395428815798,0.05534,0.10461
