epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
1,5.81676075294358e+17,88.68306970054225,1.2820864887483568e+17,42.27354294858769
2,1.0076047983576282e+16,5.581497694831145,6657474752552.878,0.24007451599705482
3,6734381789451.318,0.24078061133309414,6710265142789.109,0.24003808143847954
4,6724212434720.66,0.24049429817576157,6649231380700.742,0.2406615315083258
5,6735066421057.428,0.24081124913065058,6659165684954.698,0.2400374182327065
6,6734700455229.764,0.24080413568647285,6663757371003.656,0.23998617275270398
7,6737648059540.749,0.24088254167531667,6668273381678.499,0.23997391477792324
8,6734057522731.763,0.24076541829736609,6691723837897.836,0.23998194004961115
9,6745867934443.628,0.24077465475860396,6666701573579.88,0.23997690452786977
10,6739251133346.438,0.2407568356802589,6680780914459.082,0.24229267263364887
11,6739042080184.212,0.2409061421971572,6666125165492.375,0.2399780349936076
12,6732187669778.647,0.2406775680466702,6695338666568.559,0.24287429889162143
13,6744603039863.862,0.24103058666931956,6661506691570.715,0.24000211372346936
14,6742788767067.944,0.2409337305081518,6654712770927.904,0.2401445342038206
15,6740095614624.175,0.2408494427015907,6650434548406.93,0.2403253076557152
16,6752766840233.553,0.24082404408956828,6651572051395.705,0.24026033758165355
17,6758228350537.081,0.24137349054060483,6686364304341.078,0.23997304212309406
18,6752737683198.168,0.2410281506463101,6728045570796.072,0.2401144800190916
19,6765147855657.715,0.24117744069350394,6649800235273.709,0.2407322763920782
20,6791705956353.725,0.2419734663461384,6649432640317.828,0.24040869413735624
21,6752460764872.704,0.24114196810596866,6649595153900.583,0.24039128654731248
22,6768036076350.41,0.24143419369270927,6676797621205.078,0.24213409260242524
23,6075964135488.674,0.22419079757364171,3052192805918.6587,0.1638412221582112
24,2164015092851.9814,0.13126009980628364,1564031426543.6487,0.11446919903426828
25,1096054886836.3318,0.09190796672984174,682577978537.6447,0.0738415376035991
26,727526521438.208,0.0734577376089598,640211872263.1537,0.07161421349603021
27,587423539603.5638,0.06417827464718567,465209068349.82837,0.05930228235419401
28,486077502890.41516,0.05754490456141924,363424376108.4551,0.052888594233168815
29,412750641351.19495,0.05271528868926199,286245645330.3952,0.0460565092335799
30,384067034463.3937,0.05150505781173706,330900697521.3094,0.049686080621864026
31,276811700502.528,0.04268629880955345,270835937974.93015,0.048933768752746715
32,247329988542.464,0.04045307326159979,188556661349.17365,0.039069177794777706
33,209149376352.4716,0.03749333834020715,166666627820.07187,0.038168914831743506
34,193069247779.0316,0.034918960315616504,131456053190.77046,0.03221550244771078
35,187781868014.10693,0.035048952239124395,170209064081.11777,0.03706740434774144
36,185063658218.76547,0.03436561384248106,128587671057.37326,0.028979807460082028
37,145829839679.27243,0.029648375825662363,109607286125.86028,0.02844598987502252
38,138462868928.83536,0.029331005588173868,109124018143.29741,0.030506127835539524
39,128947759832.65685,0.02765905586826174,142014995662.43512,0.03364709617863753
40,120084116847.77768,0.027008860799042803,78725196466.84232,0.02350351744574939
41,102768004759.552,0.023537439731390854,99605843714.55489,0.02557167807917395
42,119731794478.78062,0.025847544783040098,74274487387.97604,0.023885857596428334
43,119227044381.53432,0.02681859745320521,93454789241.61278,0.025796259368608097
44,100646168911.44084,0.024450729322276616,63857715383.952095,0.021112166281915947
45,88493037682.688,0.023008113986567446,90744533408.95808,0.02693454482166948
46,88981767841.03748,0.022548386863972012,313353489050.31537,0.044812439727093166
47,113019215745.67073,0.026131582551880885,70687895854.49901,0.02286696271178965
48,97516532641.57642,0.02376991745359019,294024536145.7565,0.05033343352243572
49,94323602475.54695,0.024538574926163022,105153264192.38324,0.02793917958132045
50,89849201723.06863,0.023431199232214376,70981821192.68663,0.023143340578812087
51,76551263082.38821,0.02163876030750965,43170366940.23154,0.0173879743120568
52,57550325836.74611,0.018296521222905107,83060615147.56088,0.026975531194232658
53,78247434549.57137,0.0232648429690223,79874289328.7984,0.025107278211596244
54,57418787350.63579,0.01885942966843906,48987102896.7984,0.018114319435523416
55,138660006413.15033,0.026843807573381222,337678392510.08386,0.056585155970262674
56,113347599775.20505,0.025976711015167988,54864259247.77644,0.020643957751150615
57,66292859852.69221,0.019754954717661206,91920285189.10979,0.027894364331594246
58,47203484708.64842,0.018192431433420433,69512426036.11977,0.025018778861966913
59,44784366702.37642,0.018247672112756654,33394372632.526947,0.015529241643385022
60,35472973842.97095,0.016113349423596733,41286586936.20759,0.017739205769897102
61,31247591749.093052,0.015132052753316728,39893318980.98203,0.017192570494484163
62,31644904894.24842,0.015178881380903094,36211392683.68862,0.01656331380498326
63,27604035507.253895,0.014173306355350896,41279874193.11777,0.0177392485605445
64,27228714769.138527,0.014020050164900329,32618991419.78443,0.01518059449973042
65,31729585844.870735,0.015416928514838219,35986045508.471054,0.0161519307594843
66,27187743923.792843,0.013940028607061035,37126655628.00798,0.017470003786067407
67,60803895765.09979,0.01907258560469276,316327538369.1497,0.052432473049965685
68,78862429643.18315,0.023037144106861793,50769084211.60878,0.01926847487063465
69,28985208541.39958,0.0142990464128946,40945964438.738525,0.01762172441461129
70,23520337751.417263,0.013338822798509347,31566788195.12974,0.014887761343233361
71,24709558600.542316,0.01359135987217489,24756035291.72056,0.01317804431293658
72,20751396431.117474,0.012344758153746003,36887047766.866264,0.016455252652991557
73,21135391002.40842,0.01262335411890557,33927681312.191616,0.015545541874157217
74,23823498002.86316,0.013545216106662625,36684038659.065865,0.016901054079393428
75,20086364156.11958,0.012158791171877008,25796613647.32934,0.013477574896342503
76,20588439247.602528,0.012417412621018134,38420486773.52495,0.017836507792750044
77,22965851166.61221,0.013188438885698194,31501473084.80639,0.015499972498523975
78,24618261767.437473,0.013694550040913255,26771765566.8503,0.014123139798849405
79,19305369206.784,0.012006929545026076,26233260833.213573,0.014019286148473174
80,25982926924.746105,0.014212671554794437,23948210118.77046,0.012788902553627472
81,20550177140.089264,0.012435864147779188,25041341887.616768,0.013934316992863804
82,18102201538.021053,0.011686810796982364,23028961421.02994,0.012897169555792076
83,14968802025.040842,0.010733419768904386,31238545910.802395,0.015694893963501124
84,20576251371.951157,0.012689383222868568,22324989510.51497,0.0128039600506068
85,59925945136.61305,0.016288049029676538,138011263548.2954,0.03346709319633876
86,59608590364.45642,0.016838477193524964,37049947759.39321,0.017556740961849927
87,20338753555.833263,0.011837190807257827,22522169072.15968,0.012448130835390495
88,13082209026.910316,0.00957972201430484,24075277117.828342,0.013438916727974861
89,12563404219.661474,0.009730869644958721,22240344043.56088,0.013076492438386537
90,13332929619.86021,0.01018560283474232,24006367493.620758,0.013442394375696987
91,11783256616.96,0.00928471322318441,21589841488.73453,0.011838728076817389
